source,org_id,tbl_id,year,region_code,region_name,industry_code,industry_name,industry_level,indicator,unit,value,last_modified,quality_flag
KOSIS,101,DT_1FS1101,2021,00,전국,C17,펄프 종이 및 종이제품 제조업,중분류,establishments,개,1964.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C17,펄프 종이 및 종이제품 제조업,중분류,establishments,개,1964.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C17,펄프 종이 및 종이제품 제조업,중분류,establishments,개,1957.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C17,펄프 종이 및 종이제품 제조업,중분류,establishments,개,1985.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C18,인쇄 및 기록매체 복제업,중분류,establishments,개,1180.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C18,인쇄 및 기록매체 복제업,중분류,establishments,개,1210.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C18,인쇄 및 기록매체 복제업,중분류,establishments,개,1203.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C18,인쇄 및 기록매체 복제업,중분류,establishments,개,1166.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C18,인쇄 및 기록매체 복제업,중분류,establishments,개,1157.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C19,코크스 연탄 및 석유정제품 제조업,중분류,establishments,개,143.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C19,코크스 연탄 및 석유정제품 제조업,중분류,establishments,개,151.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C19,코크스 연탄 및 석유정제품 제조업,중분류,establishments,개,150.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C19,코크스 연탄 및 석유정제품 제조업,중분류,establishments,개,150.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C19,코크스 연탄 및 석유정제품 제조업,중분류,establishments,개,157.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C20,화학물질 및 화학제품 제조업; 의약품 제외,중분류,establishments,개,3217.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C20,화학물질 및 화학제품 제조업; 의약품 제외,중분류,establishments,개,3301.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C20,화학물질 및 화학제품 제조업; 의약품 제외,중분류,establishments,개,3373.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C20,화학물질 및 화학제품 제조업; 의약품 제외,중분류,establishments,개,3416.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C20,화학물질 및 화학제품 제조업; 의약품 제외,중분류,establishments,개,3496.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C21,의료용 물질 및 의약품 제조업,중분류,establishments,개,627.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C21,의료용 물질 및 의약품 제조업,중분류,establishments,개,703.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C21,의료용 물질 및 의약품 제조업,중분류,establishments,개,707.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C21,의료용 물질 및 의약품 제조업,중분류,establishments,개,714.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C21,의료용 물질 및 의약품 제조업,중분류,establishments,개,733.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C22,고무 및 플라스틱제품 제조업,중분류,establishments,개,6266.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C22,고무 및 플라스틱제품 제조업,중분류,establishments,개,6393.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C22,고무 및 플라스틱제품 제조업,중분류,establishments,개,6387.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C22,고무 및 플라스틱제품 제조업,중분류,establishments,개,6342.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C22,고무 및 플라스틱제품 제조업,중분류,establishments,개,6253.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C23,비금속 광물제품 제조업,중분류,establishments,개,2801.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C23,비금속 광물제품 제조업,중분류,establishments,개,2832.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C23,비금속 광물제품 제조업,중분류,establishments,개,2811.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C23,비금속 광물제품 제조업,중분류,establishments,개,2831.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C23,비금속 광물제품 제조업,중분류,establishments,개,2867.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C24,1차 금속 제조업,중분류,establishments,개,2992.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C24,1차 금속 제조업,중분류,establishments,개,3045.0,,valid
KOSIS,101,DT_1FS1101,2022,00,전국,C24,1차 금속 제조업,중분류,establishments,개,3129.0,,valid
KOSIS,101,DT_1FS1101,2023,00,전국,C24,1차 금속 제조업,중분류,establishments,개,3141.0,,valid
KOSIS,101,DT_1FS1101,2024,00,전국,C24,1차 금속 제조업,중분류,establishments,개,3202.0,,valid
KOSIS,101,DT_1FS1101,2020,00,전국,C25,금속가공제품 제조업; 기계 및 가구 제외,중분류,establishments,개,9344.0,,valid
KOSIS,101,DT_1FS1101,2021,00,전국,C25,금속가공제품 제조업; 기계 및 가구 제외,중분류,establishments,개,9518.0,,valid
