source,org_id,tbl_id,year,region_code,region_name,industry_code,industry_name,industry_level,indicator,unit,value,last_modified,quality_flag
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C25,금속가공제품 제조업; 기계 및 가구 제외,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C25,금속가공제품 제조업; 기계 및 가구 제외,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C25,금속가공제품 제조업; 기계 및 가구 제외,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C26,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C26,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C26,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C26,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C26,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C27,의료 정밀 광학기기 및 시계 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C27,의료 정밀 광학기기 및 시계 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C27,의료 정밀 광학기기 및 시계 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C27,의료 정밀 광학기기 및 시계 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C27,의료 정밀 광학기기 및 시계 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C28,전기장비 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C28,전기장비 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C28,전기장비 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C28,전기장비 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C28,전기장비 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C29,기타 기계 및 장비 제조업,중분류,establishments,개,7.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C29,기타 기계 및 장비 제조업,중분류,establishments,개,6.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C29,기타 기계 및 장비 제조업,중분류,establishments,개,6.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C29,기타 기계 및 장비 제조업,중분류,establishments,개,6.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C29,기타 기계 및 장비 제조업,중분류,establishments,개,6.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C32,가구 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C32,가구 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C32,가구 제조업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C33,기타 제품 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C33,기타 제품 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C33,기타 제품 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C33,기타 제품 제조업,중분류,establishments,개,3.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C33,기타 제품 제조업,중분류,establishments,개,2.0,,valid
KOSIS,101,DT_1FS1101,2020,32030,강릉시,C34,산업용 기계 및 장비 수리업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2021,32030,강릉시,C34,산업용 기계 및 장비 수리업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2022,32030,강릉시,C34,산업용 기계 및 장비 수리업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2023,32030,강릉시,C34,산업용 기계 및 장비 수리업,중분류,establishments,개,1.0,,valid
KOSIS,101,DT_1FS1101,2024,32030,강릉시,C34,산업용 기계 및 장비 수리업,중분류,establishments,개,1.0,,valid
